,Unnamed: 0, 상품매출현황(전체) ,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,,조회기간 : 2020-06-03 ~ 2020-06-03,,,,,
1,,상 품 명,상 품 코 드,수    량,점유율(수량),판매금액,점유율(금액)
2,,단팥빵, 1002,91,9.869848156182213,118300,4.291674224560131
3,,옛날크림빵, 1003,25,2.7114967462039044,37500,1.360420823508072
4,,소보루빵, 1005,30,3.2537960954446854,39000,1.4148376564483947
5,,생크림빵, 1007,8,0.8676789587852495,20000,0.7255577725376383
6,,우유버터크림, 1009,15,1.6268980477223427,22500,0.8162524941048431
7,,완두앙금빵, 1010,10,1.0845986984815619,13000,0.4716125521494649
8,,생크림팥 왕빵, 1011,3,0.32537960954446854,8400,0.3047342644658081
9,,소보루왕빵, 1013,2,0.21691973969631237,5000,0.18138944313440958
10,,그린찰왕빵, 1014,4,0.43383947939262474,10000,0.36277888626881916
11,,옥수수왕빵, 1015,4,0.43383947939262474,10000,0.36277888626881916
12,,찰브레드, 1163,1,0.10845986984815618,3800,0.13785597678215128
13,,맘모스, 1169,1,0.10845986984815618,3000,0.10883366588064575
14,,땅콩크림 빵, 1256,8,0.8676789587852495,12000,0.435334663522583
15,,찹쌀도넛, 1049,15,1.6268980477223427,22500,0.8162524941048431
16,,찹쌀스틱, 1050,5,0.5422993492407809,6500,0.23580627607473245
17,,생크림꽈베기, 1051,10,1.0845986984815619,25000,0.9069472156720478
18,,팥도넛, 1052,12,1.3015184381778742,18000,0.6530019952838745
19,,튀김소보루, 1053,19,2.0607375271149673,38000,1.3785597678215127
20,,소보루꽈베기, 1055,4,0.43383947939262474,7200,0.2612007981135498
21,,츄러스, 1056,7,0.7592190889370932,14000,0.5078904407763468
22,,고로케, 1166,14,1.5184381778741864,28000,1.0157808815526936
23,,피자 고로케, 1226,2,0.21691973969631237,5000,0.18138944313440958
24,,튀김 사라다, 1231,3,0.32537960954446854,7500,0.27208416470161434
25,,옛날모찌, 1102,26,2.819956616052061,33800,1.2261926355886088
26,,레몬 마들렌, 1105,1,0.10845986984815618,2000,0.07255577725376383
27,,쵸코 마들렌, 1106,1,0.10845986984815618,2000,0.07255577725376383
28,,밤만주, 1109,8,0.8676789587852495,10400,0.3772900417195719
29,,왕만주, 1249,8,0.8676789587852495,16000,0.5804462180301106
30,,우유식빵, 1004,9,0.9761388286334056,27000,0.9795029929258117
31,,잡곡식빵, 1016,5,0.5422993492407809,15000,0.5441683294032287
32,,옥수수식빵, 1017,9,0.9761388286334056,22500,0.8162524941048431
33,,밤식빵, 1019,8,0.8676789587852495,40000,1.4511155450752766
34,,모닝빵, 1022,6,0.6507592190889371,21000,0.7618356611645202
35,,환타스틱, 1023,1,0.10845986984815618,3500,0.1269726101940867
36,,바게트, 1025,2,0.21691973969631237,6600,0.23943406493742064
37,,흑임자아몬드, 1242,1,0.10845986984815618,2900,0.10520587701795756
38,,꿀빵, 1270,3,0.32537960954446854,9000,0.32650099764193724
39,,새우바게트, 1026,99,10.737527114967461,490000,17.77616542717214
40,,크림치즈바게트, 1027,121,13.123644251626898,605000,21.948122619263557
41,,마늘바게트, 1028,43,4.663774403470716,147000,5.332849628151641
42,,연유볼, 1030,8,0.8676789587852495,40000,1.4511155450752766
43,,불고기또띠아, 1034,4,0.43383947939262474,10000,0.36277888626881916
44,,알레스카, 1068,4,0.43383947939262474,14000,0.5078904407763468
45,,모카브리오슈, 1069,3,0.32537960954446854,10500,0.3809178305822601
46,,먹물크림파이, 1070,2,0.21691973969631237,7800,0.28296753128967894
47,,팡콩파이, 1071,1,0.10845986984815618,1500,0.05441683294032287
48,,우유크림파이, 1072,3,0.32537960954446854,11700,0.4244512969345184
49,,마롱브리오슈, 1073,1,0.10845986984815618,2800,0.10157808815526936
50,,콘치즈트라이, 1074,2,0.21691973969631237,7000,0.2539452203881734
51,,나비파이, 1078,2,0.21691973969631237,5600,0.20315617631053873
52,,종이파이, 1079,2,0.21691973969631237,5600,0.20315617631053873
53,,아몬드크로아상, 1080,1,0.10845986984815618,2500,0.09069472156720479
54,,몽블랑, 1081,9,0.9761388286334056,34200,1.2407037910393615
55,,이탈리아노 1개, 1157,9,0.9761388286334056,11700,0.4244512969345184
56,,크림치즈 페스트리, 1203,2,0.21691973969631237,5000,0.18138944313440958
57,,브라우니, 1206,1,0.10845986984815618,8000,0.2902231090150553
58,,소세지 페스트리, 1208,3,0.32537960954446854,10500,0.3809178305822601
59,,애플 파이, 1255,2,0.21691973969631237,4000,0.14511155450752766
60,,블루베리 파이, 1267,1,0.10845986984815618,3500,0.1269726101940867
61,,공룡알, 1037,12,1.3015184381778742,33600,1.2189370578632324
62,,에그모닝, 1038,3,0.32537960954446854,10500,0.3809178305822601
63,,베이컨챠파타, 1041,2,0.21691973969631237,9800,0.3555233085434428
64,,닭가슴살샐러드, 1042,3,0.32537960954446854,14700,0.5332849628151641
65,,거북이피쟈, 1046,9,0.9761388286334056,18000,0.6530019952838745
66,,롱소세지, 1047,5,0.5422993492407809,19500,0.7074188282241973
67,,햄버거, 1184,5,0.5422993492407809,19500,0.7074188282241973
