,Unnamed: 0, 상품매출현황(전체) ,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,,조회기간 : 2020-02-27 ~ 2020-02-27,,,,,
1,,상 품 명,상 품 코 드,수    량,점유율(수량),판매금액,점유율(금액)
2,,단팥빵, 1002,93,11.058263971462544,120900,4.688317983519147
3,,옛날크림빵, 1003,22,2.615933412604043,33000,1.279689772176442
4,,소보루빵, 1005,24,2.853745541022592,31200,1.2098885118759088
5,,우유버터크림, 1009,33,3.9239001189060643,49500,1.919534658264663
6,,완두앙금빵, 1010,22,2.615933412604043,28600,1.1090644692195832
7,,생크림 팥 왕빵, 1011,11,1.3079667063020215,36300,1.4076587493940862
8,,소보루왕빵, 1013,5,0.5945303210463734,12500,0.4847309743092584
9,,그린찰왕빵, 1014,6,0.713436385255648,15000,0.58167716917111
10,,옥수수왕빵, 1015,6,0.713436385255648,15000,0.58167716917111
11,,찰브레드, 1163,10,1.1890606420927468,38000,1.4735821619001455
12,,맘모스, 1168,3,0.356718192627824,9000,0.34900630150266604
13,,말랑 모카, 1171,3,0.356718192627824,8400,0.3257392147358216
14,,고구마빵, 1172,20,2.3781212841854935,50000,1.9389238972370335
15,,찹쌀도넛, 1049,11,1.3079667063020215,16500,0.639844886088221
16,,찹쌀스틱, 1050,12,1.426872770511296,15600,0.6049442559379544
17,,생크림꽈베기, 1051,10,1.1890606420927468,25000,0.9694619486185168
18,,팥도넛, 1052,7,0.8323424494649228,10500,0.407174018419777
19,,튀김소보루, 1053,2,0.23781212841854935,4000,0.15511391177896267
20,,소보루꽈베기, 1055,9,1.070154577883472,16200,0.6282113427047988
21,,츄러스, 1056,5,0.5945303210463734,10000,0.3877847794474067
22,,고로케, 1166,10,1.1890606420927468,20000,0.7755695588948134
23,,구운고로케, 1167,6,0.713436385255648,13200,0.5118759088705769
24,,옛날모찌, 1102,14,1.6646848989298455,18200,0.7057682985942801
25,,우유식빵, 1004,4,0.4756242568370987,12000,0.46534173533688805
26,,잡곡식빵, 1016,6,0.713436385255648,18000,0.6980126030053321
27,,옥수수식빵, 1017,1,0.11890606420927467,2500,0.09694619486185167
28,,밤식빵, 1019,3,0.356718192627824,15000,0.58167716917111
29,,모닝빵, 1022,1,0.11890606420927467,3500,0.13572467280659234
30,,환타스틱, 1023,4,0.4756242568370987,14000,0.5428986912263694
31,,초코깜파뉴, 1024,3,0.356718192627824,10500,0.407174018419777
32,,바게트, 1025,3,0.356718192627824,9900,0.3839069316529326
33,,새우바게트, 1026,66,7.8478002378121285,330000,12.79689772176442
34,,크림치즈바게트, 1027,85,10.107015457788346,425000,16.480853126514784
35,,마늘바게트, 1028,24,2.853745541022592,84000,3.257392147358216
36,,연유볼, 1030,22,2.615933412604043,110000,4.265632573921474
37,,불고기또띠아, 1034,7,0.8323424494649228,17500,0.6786233640329618
38,,핫도그, 1036,4,0.4756242568370987,10000,0.3877847794474067
39,,알레스카, 1068,6,0.713436385255648,21000,0.814348036839554
40,,모카브리오슈, 1069,8,0.9512485136741974,28000,1.0857973824527387
41,,먹물크림파이, 1070,6,0.713436385255648,23400,0.9074163839069317
42,,우유크림파이, 1072,10,1.1890606420927468,39000,1.5123606398448861
43,,마롱브리오슈, 1073,9,1.070154577883472,27000,1.047018904507998
44,,콘치즈트라이, 1074,10,1.1890606420927468,35000,1.3572467280659235
45,,크로아상, 1077,1,0.11890606420927467,2000,0.07755695588948133
46,,아몬드크로아상, 1080,8,0.9512485136741974,20000,0.7755695588948134
47,,몽블랑, 1081,8,0.9512485136741974,30400,1.1788657295201164
48,,이탈리아노 1개, 1155,15,1.78359096313912,12000,0.46534173533688805
49,,이탈리아노 5개, 1156,2,0.23781212841854935,7000,0.2714493456131847
50,,공룡알, 1037,10,1.1890606420927468,28000,1.0857973824527387
