 상품매출현황(전체) ,,,,,
조회기간 : 2020-03-03 ~ 2020-03-03,,,,,
상 품 명,상 품 코 드,수    량,점유율(수량),판매금액,점유율(금액)
단팥빵, 1002,37,4.73,"48,100",2.01
옛날크림빵, 1003,37,4.73,"55,500",2.32
소보루빵, 1005,33,4.22,"42,900",1.79
생크림빵, 1007,3,0.38,"7,500",0.31
우유버터크림, 1009,16,2.05,"24,000",1.00
완두앙금빵, 1010,31,3.96,"40,300",1.69
생크림 팥 왕빵, 1011,12,1.53,"39,600",1.66
소보루왕빵, 1013,7,0.90,"17,500",0.73
그린찰왕빵, 1014,5,0.64,"12,500",0.52
옥수수왕빵, 1015,8,1.02,"20,000",0.84
찰브레드, 1163,4,0.51,"15,200",0.64
맘모스, 1168,4,0.51,"12,000",0.50
말랑 모카, 1171,4,0.51,"11,200",0.47
생크림빵, 1183,5,0.64,"12,500",0.52
찹쌀도넛, 1049,16,2.05,"24,000",1.00
찹쌀스틱, 1050,8,1.02,"10,400",0.44
생크림꽈베기, 1051,15,1.92,"37,500",1.57
팥도넛, 1052,10,1.28,"15,000",0.63
튀김소보루, 1053,10,1.28,"20,000",0.84
옥수수꽈베기, 1054,1,0.13,"1,800",0.08
소보루꽈베기, 1055,10,1.28,"18,000",0.75
츄러스, 1056,2,0.26,"4,000",0.17
고로케, 1166,9,1.15,"18,000",0.75
구운고로케, 1167,5,0.64,"11,000",0.46
옛날모찌, 1102,21,2.69,"27,300",1.14
우유식빵, 1004,2,0.26,"6,000",0.25
잡곡식빵, 1016,1,0.13,"3,000",0.13
옥수수식빵, 1017,6,0.77,"15,000",0.63
밤식빵, 1019,7,0.90,"35,000",1.46
모닝빵, 1022,3,0.38,"10,500",0.44
환타스틱, 1023,2,0.26,"7,000",0.29
초코깜파뉴, 1024,3,0.38,"10,500",0.44
바게트, 1025,3,0.38,"9,900",0.41
새우바게트, 1026,78,9.97,"390,000",16.31
크림치즈바게트, 1027,101,12.92,"505,000",21.12
마늘바게트, 1028,29,3.71,"101,500",4.25
마늘스틱, 1029,1,0.13,"1,500",0.06
연유볼, 1030,23,2.94,"115,000",4.81
불고기또띠아, 1034,4,0.51,"10,000",0.42
알레스카, 1068,8,1.02,"28,000",1.17
모카브리오슈, 1069,6,0.77,"21,000",0.88
먹물크림파이, 1070,2,0.26,"7,800",0.33
티라미슈파이, 1071,6,0.77,"23,400",0.98
우유크림파이, 1072,7,0.90,"27,300",1.14
마롱브리오슈, 1073,6,0.77,"16,800",0.70
콘치즈트라이, 1074,6,0.77,"21,000",0.88
크로아상, 1077,1,0.13,"2,000",0.08
아몬드크로아상, 1080,5,0.64,"12,500",0.52
몽블랑, 1081,5,0.64,"19,000",0.79
이탈리아노 1개, 1155,16,2.05,"12,600",0.53
이탈리아노 5개, 1156,2,0.26,"7,000",0.29
공룡알, 1037,4,0.51,"7,000",0.29
이탈리안피쟈, 1043,5,0.64,"19,500",0.82
야채사라다, 1044,9,1.15,"35,100",1.47
양파랑치즈랑, 1045,8,1.02,"26,400",1.10
거북이피쟈, 1046,8,1.02,"16,000",0.67
바질크로깡, 1161,5,0.64,"17,500",0.73
앙버터, 1057,12,1.53,"21,600",0.90
플레인 치아바타, 1058,2,0.26,"4,400",0.18
치츠 치아바타, 1059,3,0.38,"9,900",0.41
올리브 치아바타, 1060,2,0.26,"6,600",0.28
노아레장, 1062,2,0.26,"7,000",0.29
마크로네, 1173,4,0.51,"18,000",0.75
대왕카스테라1/4, 1093,6,0.77,"36,000",1.51
코코넛케익, 1101,3,0.38,"7,500",0.31
롤케이크1구, 1160,1,0.13,"10,000",0.42
롤케이크2구, 1162,1,0.13,"20,000",0.84
밀봉, 1169,10,1.28,"24,000",1.00
시몬(봉지), 1175,3,0.38,"15,000",0.63
기페리, 1090,9,1.15,"22,500",0.94
꿀빵, 1112,5,0.64,"17,500",0.73
아메리카노(hot), 1137,8,1.02,"24,000",1.00
아메리카노(ice), 1138,2,0.26,"6,400",0.27
우유(200ml), 1142,2,0.26,"2,000",0.08
코롬방쉐이크, 1144,17,2.17,"42,500",1.78
바나나우유, 1152,1,0.13,"1,300",0.05
요거트파르페, 1165,2,0.26,"7,000",0.29
생크림, 1176,2,0.26,"2,000",0.08
합  계,,782,,"2,390,800",
