,Unnamed: 0, 상품매출현황(전체) ,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,,조회기간 : 2020-03-22 ~ 2020-03-22,,,,,
1,,상 품 명,상 품 코 드,수    량,점유율(수량),판매금액,점유율(금액)
2,,단팥빵, 1002,52,4.676258992805756,67600,1.614868254461193
3,,옛날크림빵, 1003,17,1.5287769784172662,25500,0.6091588829698287
4,,소보루빵, 1005,6,0.539568345323741,7800,0.18633095243782996
5,,생크림빵, 1007,4,0.3597122302158273,10000,0.23888583645875636
6,,우유버터크림, 1009,12,1.079136690647482,18000,0.42999450562576147
7,,완두앙금빵, 1010,9,0.8093525179856115,11700,0.27949642865674496
8,,생크림팥 왕빵, 1011,3,0.2697841726618705,9900,0.2364969780941688
9,,소보루왕빵, 1013,5,0.44964028776978415,12500,0.29860729557344545
10,,그린찰왕빵, 1014,5,0.44964028776978415,12500,0.29860729557344545
11,,찰브레드, 1163,2,0.17985611510791366,7600,0.18155323570865484
12,,말랑 모카, 1174,4,0.3597122302158273,11200,0.26755213683380713
13,,고구마빵, 1175,6,0.539568345323741,15000,0.3583287546881345
14,,블루베리 요거트빵, 1193,3,0.2697841726618705,7500,0.17916437734406726
15,,찹쌀도넛, 1049,17,1.5287769784172662,25500,0.6091588829698287
16,,찹쌀스틱, 1050,18,1.618705035971223,23400,0.5589928573134899
17,,생크림꽈베기, 1051,11,0.9892086330935251,27500,0.65693605026158
18,,팥도넛, 1052,6,0.539568345323741,9000,0.21499725281288073
19,,튀김소보루, 1053,15,1.3489208633093526,30000,0.716657509376269
20,,소보루꽈베기, 1055,8,0.7194244604316546,14400,0.3439956045006092
21,,츄러스, 1056,6,0.539568345323741,12000,0.28666300375050763
22,,고로케, 1166,11,0.9892086330935251,22000,0.525548840209264
23,,구운고로케, 1167,6,0.539568345323741,13200,0.3153293041255584
24,,페이스트리 꽈배기, 1200,5,0.44964028776978415,10000,0.23888583645875636
25,,옛날모찌, 1102,9,0.8093525179856115,11700,0.27949642865674496
26,,황란빵, 1108,3,0.2697841726618705,3900,0.09316547621891498
27,,밤만주, 1109,5,0.44964028776978415,6500,0.15527579369819164
28,,만주 선물세트, 1189,1,0.08992805755395683,19500,0.4658273810945749
29,,우유식빵, 1004,5,0.44964028776978415,15000,0.3583287546881345
30,,잡곡식빵, 1016,6,0.539568345323741,18000,0.42999450562576147
31,,옥수수식빵, 1017,7,0.6294964028776978,17500,0.41805021380282364
32,,밤식빵, 1019,6,0.539568345323741,30000,0.716657509376269
33,,모닝빵, 1022,3,0.2697841726618705,10500,0.25083012828169415
34,,환타스틱, 1023,3,0.2697841726618705,10500,0.25083012828169415
35,,초코깜파뉴, 1024,2,0.17985611510791366,7000,0.16722008552112946
36,,바게트, 1025,2,0.17985611510791366,6600,0.1576646520627792
37,,새우바게트, 1026,179,16.097122302158272,895000,21.380282363058694
38,,크림치즈바게트, 1027,206,18.52517985611511,1030000,24.605241155251907
39,,마늘바게트, 1028,105,9.442446043165468,367500,8.779054489859297
40,,연유볼, 1030,71,6.384892086330935,355000,8.480447194285851
41,,불고기또띠아, 1034,2,0.17985611510791366,5000,0.11944291822937818
42,,바게트피쟈, 1035,5,0.44964028776978415,25000,0.5972145911468909
43,,알레스카, 1068,2,0.17985611510791366,7000,0.16722008552112946
44,,모카브리오슈, 1069,3,0.2697841726618705,10500,0.25083012828169415
45,,먹물크림파이, 1070,4,0.3597122302158273,15600,0.3726619048756599
46,,티라미슈파이, 1071,4,0.3597122302158273,15600,0.3726619048756599
47,,우유크림파이, 1072,1,0.08992805755395683,3900,0.09316547621891498
48,,마롱브리오슈, 1073,2,0.17985611510791366,5600,0.13377606841690357
49,,나비파이, 1078,1,0.08992805755395683,2500,0.05972145911468909
50,,종이파이, 1079,2,0.17985611510791366,5600,0.13377606841690357
51,,아몬드크로아상, 1080,5,0.44964028776978415,12500,0.29860729557344545
52,,몽블랑, 1081,3,0.2697841726618705,11400,0.2723298535629822
53,,이탈리아노 1개, 1157,9,0.8093525179856115,11700,0.27949642865674496
54,,크림치즈 페스트리, 1203,1,0.08992805755395683,2500,0.05972145911468909
55,,공룡알, 1037,24,2.158273381294964,67200,1.6053128210028427
56,,에그모닝, 1038,2,0.17985611510791366,7000,0.16722008552112946
57,,불고기챠파타, 1040,2,0.17985611510791366,9800,0.23410811972958123
58,,베이컨챠파타, 1041,1,0.08992805755395683,4500,0.10749862640644037
59,,닭가슴살샐러드, 1042,2,0.17985611510791366,9800,0.23410811972958123
60,,이탈리안피자, 1043,5,0.44964028776978415,19500,0.4658273810945749
61,,양파랑치즈랑, 1045,1,0.08992805755395683,3300,0.0788323260313896
62,,거북이피쟈, 1046,4,0.3597122302158273,8000,0.19110866916700509
63,,롱소세지, 1047,3,0.2697841726618705,11700,0.27949642865674496
64,,바질크로깡, 1155,1,0.08992805755395683,3500,0.08361004276056473
65,,햄버거, 1184,3,0.2697841726618705,11700,0.27949642865674496
66,,갈릭롱소세지, 1204,1,0.08992805755395683,4900,0.11705405986479062
67,,앙버터, 1057,11,0.9892086330935251,19800,0.4729939561883376
68,,플레인 치아바타, 1058,3,0.2697841726618705,6600,0.1576646520627792
69,,치즈 치아바타, 1059,1,0.08992805755395683,3300,0.0788323260313896
70,,올리브 치아바타, 1060,3,0.2697841726618705,9900,0.2364969780941688
71,,노아레장, 1062,1,0.08992805755395683,3500,0.08361004276056473
72,,마크로네, 1164,3,0.2697841726618705,13500,0.3224958792193211
73,,쵸코머핀, 1098,11,0.9892086330935251,19800,0.4729939561883376
74,,코코넛케?, 1101,5,0.44964028776978415,12500,0.29860729557344545
75,,1호, 1128,4,0.3597122302158273,88000,2.102195360837056
76,,2호, 1129,2,0.17985611510791366,54000,1.2899835168772844
77,,4호, 1131,1,0.08992805755395683,44000,1.051097680418528
78,,롤케이크1호, 1162,3,0.2697841726618705,30000,0.716657509376269
79,,밀봉카스테라, 1168,2,0.17985611510791366,5000,0.11944291822937818
80,,롤케이크2호, 1171,1,0.08992805755395683,20000,0.4777716729175127
81,,밤파운드, 1177,2,0.17985611510791366,12000,0.28666300375050763
82,,찹쌀카스테라, 1191,2,0.17985611510791366,12000,0.28666300375050763
83,,두부뽀빠이, 1083,3,0.2697841726618705,9000,0.21499725281288073
84,,아메리카노(hot), 1137,19,1.70863309352518,57000,1.3616492678149112
85,,아메리카노(ice), 1138,32,2.8776978417266186,102400,2.446190965337665
86,,카페라테(hot), 1139,6,0.539568345323741,19800,0.4729939561883376
87,,탄산음료, 1141,4,0.3597122302158273,6800,0.1624423687919543
88,,우유(500ml), 1143,2,0.17985611510791366,3600,0.0859989011251523
89,,코롬방쉐이크, 1144,39,3.5071942446043165,97500,2.3291369054728746
90,,카페라테(ice), 1149,5,0.44964028776978415,17500,0.41805021380282364
91,,바나나우유, 1151,3,0.2697841726618705,3900,0.09316547621891498
92,,초코몽.딸기몽, 1152,4,0.3597122302158273,4400,0.1051097680418528
93,,애플주스, 1154,2,0.17985611510791366,6000,0.14333150187525381
94,,생수, 1190,1,0.08992805755395683,1000,0.023888583645875636
95,,합  계,,"1,112",,"4,186,100",
